effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh2_vanish_clc_attribute_armour_0	wh_main_effect_character_stat_mod_armour	force_to_general_own	0	start_turn_completed
wh2_vanish_clc_attribute_armour_minus_1	wh_main_effect_character_stat_mod_armour	force_to_general_own	-5	start_turn_completed
wh2_vanish_clc_attribute_armour_minus_2	wh_main_effect_character_stat_mod_armour	force_to_general_own	-10	start_turn_completed
wh2_vanish_clc_attribute_armour_minus_3	wh_main_effect_character_stat_mod_armour	force_to_general_own	-15	start_turn_completed
wh2_vanish_clc_attribute_armour_minus_4	wh_main_effect_character_stat_mod_armour	force_to_general_own	-20	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_4	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	20	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_3	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	15	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_2	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	10	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_1	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	5	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_0	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	0	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_minus_1	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	-5	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_minus_2	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	-10	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_minus_3	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	-15	start_turn_completed
wh2_vanish_clc_attribute_weapon_strength_minus_4	wh_main_effect_character_stat_mod_melee_damage	force_to_general_own	-20	start_turn_completed
wh2_vanish_clc_attribute_speed_4	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	20	start_turn_completed
wh2_vanish_clc_attribute_speed_3	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	15	start_turn_completed
wh2_vanish_clc_attribute_speed_2	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	10	start_turn_completed
wh2_vanish_clc_attribute_speed_1	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	5	start_turn_completed
wh2_vanish_clc_attribute_speed_0	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	0	start_turn_completed
wh2_vanish_clc_attribute_speed_minus_1	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	-5	start_turn_completed
wh2_vanish_clc_attribute_speed_minus_2	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	-10	start_turn_completed
wh2_vanish_clc_attribute_speed_minus_3	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	-15	start_turn_completed
wh2_vanish_clc_attribute_speed_minus_4	wh_main_effect_character_stat_mod_battle_movement_speed	force_to_general_own	-20	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_4	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	16	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_3	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	12	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_2	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	8	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_1	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	4	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_0	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	0	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_minus_1	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	-4	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_minus_2	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	-8	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_minus_3	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	-12	start_turn_completed
wh2_vanish_clc_attribute_charge_bonus_minus_4	wh_main_effect_character_stat_mod_charge_add	force_to_general_own	-16	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_4	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	16	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_3	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	12	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_2	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	8	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_1	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	4	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_0	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	0	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_minus_1	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	-4	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_minus_2	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	-8	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_minus_3	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	-12	start_turn_completed
wh2_vanish_clc_attribute_winds_of_magic_minus_4	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	-16	start_turn_completed
